Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Skills
2013,La Liga,Atletico Madrid,Gabi Atletico Madrid/31/DM(C) ,Gabi (2013),30,Midfielder,180,74,35(1),36,35,1,3123,3,8,11,-,1,79.4,1.1,2,7.57,null
2013,La Liga,Atletico Madrid,Diego Godín Atletico Madrid/28/D(C) ,Diego Godín (2013),27,Defender,186,78,34,34,34,0,3060,4,1,11,-,0.5,78.8,3,4,7.47,Defending
2013,La Liga,Atletico Madrid,Tiago Atletico Madrid/33/M(C) ,Tiago (2013),32,Midfielder,183,71,21(2),23,21,2,1901,2,1,8,-,1.1,81.3,2.3,1,7.45,null
2013,La Liga,Atletico Madrid,Koke Atletico Madrid/22/M(CLR) ,Koke (2013),21,Midfielder,178,74,33(3),36,33,3,2833,6,13,6,-,1.1,80.6,0.9,5,7.4,null
2013,La Liga,Atletico Madrid,Diego Costa Atletico Madrid/26/FW ,Diego Costa (2013),25,Forward,188,85,34(1),35,34,1,2971,27,3,7,-,3.1,75.5,1.4,6,7.4,Scoring
2013,La Liga,Atletico Madrid,Javier Manquillo Atletico Madrid/20/D(R) ,Javier Manquillo (2013),19,Defender,180,76,3,3,3,0,270,0,-,1,-,0.3,72.6,3.7,-,7.3,null
2013,La Liga,Atletico Madrid,Filipe Luis Atletico Madrid/29/D(L) ,Filipe Luis (2013),28,Defender,188,77,32,32,32,0,2880,0,2,6,1,0.4,80.3,0.7,-,7.24,null
2013,La Liga,Atletico Madrid,Miranda Atletico Madrid/30/D(C) ,Miranda (2013),29,Defender,186,76,32,32,32,0,2880,2,1,5,-,0.4,79.5,2,1,7.15,null
2013,La Liga,Atletico Madrid,Juanfran Atletico Madrid/29/D(R)^M(R) ,Juanfran10332 (2013),28,Defender,180,72,35,35,35,0,3150,0,4,6,1,0.2,79,0.8,-,7.09,null
2013,La Liga,Atletico Madrid,Raúl García Atletico Madrid/28/M(CLR)^FW ,Raúl García11386 (2013),27,Forward,184,81,18(16),34,18,16,1722,9,3,10,-,1.8,52.2,3.7,4,6.99,null
2013,La Liga,Atletico Madrid,Arda Turan Atletico Madrid/27/AM(CLR) ,Arda Turan (2013),26,Midfielder,177,76,22(8),30,22,8,1946,3,4,8,-,1.1,83,0.7,2,6.95,null
2013,La Liga,Atletico Madrid,Toby Alderweireld Atletico Madrid/25/D(CR) ,Toby Alderweireld (2013),24,Defender,186,81,10(2),12,10,2,906,1,-,-,-,0.4,76.6,1.6,-,6.93,null
2013,La Liga,Atletico Madrid,Mario Suárez Atletico Madrid/27/DM(C) ,Mario Suárez (2013),26,Midfielder,188,80,16(1),17,16,1,1363,0,-,6,-,0.6,83.1,1.7,-,6.91,null
2013,La Liga,Atletico Madrid,David Villa Atletico Madrid/32/AM(LR)^FW ,David Villa (2013),31,Forward,175,69,32(4),36,32,4,2455,13,4,3,-,2.1,68.4,0.6,2,6.86,null
2013,La Liga,Atletico Madrid,José Sosa Atletico Madrid/29/AM(CR) ,José Sosa (2013),28,Midfielder,179,71,4(11),15,4,11,457,0,5,-,-,0.4,68.1,0.7,-,6.81,null
2013,La Liga,Atletico Madrid,Emiliano Insúa Atletico Madrid/25/D(L) ,Emiliano Insúa (2013),24,Defender,176,80,5(1),6,5,1,451,0,-,-,-,0.5,79.7,0.5,-,6.77,null
2013,La Liga,Atletico Madrid,Thibaut Courtois Atletico Madrid/22/GK ,Thibaut Courtois (2013),21,Keeper,199,91,37,37,37,0,3330,0,-,3,-,-,55.3,0.3,-,6.73,null
2013,La Liga,Atletico Madrid,Diego Atletico Madrid/29/AM(CLR) ,Diego (2013),28,Midfielder,173,73,4(9),13,4,9,514,1,1,2,-,1.6,84.5,0.2,-,6.72,null
2013,La Liga,Atletico Madrid,Óliver Atletico Madrid/19/M(L) ,Óliver (2013),18,Midfielder,178,70,2(5),7,2,5,215,1,-,1,-,0.3,79.3,0.3,-,6.7,null
2013,La Liga,Atletico Madrid,Giménez Atletico Madrid/19/D(C) ,Giménez (2013),18,Defender,185,76,1,1,1,0,90,0,-,-,-,2,75,3,-,6.67,null
2013,La Liga,Atletico Madrid,Adrián Atletico Madrid/26/AM(CLR)^FW ,Adrián14089 (2013),25,Forward,180,71,4(18),22,4,18,724,1,3,-,-,0.5,69.2,0.9,-,6.42,null
2013,La Liga,Atletico Madrid,Cristian Rodríguez Atletico Madrid/29/AM(CL) ,Cristian Rodríguez (2013),28,Midfielder,178,81,2(18),20,2,18,328,1,1,2,-,0.4,79.3,0.5,-,6.36,null
2013,La Liga,Atletico Madrid,Leo Baptistao Atletico Madrid/22/AM(CR)^FW ,Leo Baptistao (2013),21,Forward,181,71,1(4),5,1,4,115,0,1,-,-,0.6,86.4,0.6,-,6.36,null
2013,La Liga,Atletico Madrid,Josuha Guilavogui Atletico Madrid/24/M(C) ,Josuha Guilavogui (2013),23,Midfielder,188,77,0(1),1,0,1,1,0,-,-,-,-,0,-,-,6.08,null
2013,La Liga,Atletico Madrid,Daniel Aranzubia Atletico Madrid/35/GK ,Daniel Aranzubia (2013),34,Keeper,184,80,1,1,1,0,90,0,-,-,1,-,90.9,-,-,3.62,null
2013,La Liga,Barcelona,Lionel Messi Barcelona/27/AM(CR)^FW ,Lionel Messi (2013),26,Forward,169,67,29(2),31,29,2,2518,28,11,2,-,5.2,85,0.2,14,8.42,Scoring
2013,La Liga,Barcelona,Alexis Sánchez Barcelona/25/AM(CLR)^FW ,Alexis Sánchez (2013),24,Forward,168,62,27(7),34,27,7,2401,19,10,3,-,1.9,79.7,0.7,3,7.54,Scoring
2013,La Liga,Barcelona,Neymar Barcelona/22/AM(CLR) ,Neymar (2013),21,Midfielder,175,64,19(7),26,19,7,1753,9,8,6,-,2.6,84.4,0.5,4,7.51,null
2013,La Liga,Barcelona,Gerard Piqué Barcelona/27/D(C) ,Gerard Piqué (2013),26,Defender,192,85,26,26,26,0,2313,2,-,5,-,0.8,90.2,3.8,3,7.49,Defending
2013,La Liga,Barcelona,Carles Puyol Barcelona/36/D(CLR) ,Carles Puyol (2013),35,Defender,178,80,5,5,5,0,430,1,-,-,-,0.2,92.3,2.6,-,7.46,Defending
2013,La Liga,Barcelona,Dani Alves Barcelona/31/D(CR) ,Dani Alves (2013),30,Defender,173,64,26(1),27,26,1,2388,2,3,6,-,1.2,87.3,1.2,-,7.45,Defending
2013,La Liga,Barcelona,Marc Bartra Barcelona/23/D(C) ,Marc Bartra (2013),22,Defender,183,70,17(3),20,17,3,1590,1,-,3,-,0.4,89.9,2.2,-,7.39,null
2013,La Liga,Barcelona,Andrés Iniesta Barcelona/30/AM(CLR) ,Andrés Iniesta (2013),29,Midfielder,170,65,27(8),35,27,8,2493,3,7,-,-,1.2,90.7,0.1,1,7.37,null
2013,La Liga,Barcelona,Cesc Fàbregas Barcelona/27/M(CLR)^FW ,Cesc Fàbregas (2013),26,Forward,175,74,28(8),36,28,8,2488,8,13,4,-,1.4,87,0.5,1,7.31,null
2013,La Liga,Barcelona,Adriano Barcelona/30/D(CLR)^M(LR) ,Adriano13471 (2013),29,Defender,172,67,24(2),26,24,2,2121,3,1,8,-,1.3,89.6,1.6,2,7.28,null
2013,La Liga,Barcelona,Sergio Busquets Barcelona/26/D(C)^DM(C) ,Sergio Busquets (2013),25,Defender,189,73,30(2),32,30,2,2660,1,1,12,-,0.3,92.5,1.8,-,7.25,null
2013,La Liga,Barcelona,Martín Montoya Barcelona/23/D(LR) ,Martín Montoya (2013),22,Defender,174,74,12(1),13,12,1,1123,0,2,-,-,0.6,87.6,2.5,-,7.19,null
2013,La Liga,Barcelona,Javier Mascherano Barcelona/30/D(C)^DM(C) ,Javier Mascherano (2013),29,Defender,174,74,27(1),28,27,1,2371,0,-,9,-,0.1,88.9,1.2,-,7.17,null
2013,La Liga,Barcelona,Pedro Barcelona/27/AM(LR) ,Pedro (2013),26,Midfielder,169,64,28(9),37,28,9,2382,15,8,3,-,1.9,84.5,0.2,2,7.14,null
2013,La Liga,Barcelona,Jordi Alba Barcelona/25/D(L)^M(L) ,Jordi Alba (2013),24,Defender,170,69,14(1),15,14,1,1215,0,2,5,1,0.3,89.4,1.1,-,7.08,null
2013,La Liga,Barcelona,Xavi Barcelona/34/DM(C) ,Xavi (2013),33,Midfielder,170,68,26(4),30,26,4,2270,3,2,-,-,1.1,93,0.2,-,7.06,null
2013,La Liga,Barcelona,Víctor Valdés Barcelona/32/GK ,Víctor Valdés (2013),31,Keeper,183,78,26,26,26,0,2279,0,-,2,-,-,61.7,0.3,-,6.94,null
2013,La Liga,Barcelona,Alexandre Song Barcelona/27/D(C)^DM(C) ,Alexandre Song (2013),26,Defender,185,74,12(7),19,12,7,1125,0,-,2,-,0.2,91.7,1.3,-,6.85,null
2013,La Liga,Barcelona,Pinto Barcelona/38/GK ,Pinto (2013),37,Keeper,185,82,13(1),14,13,1,1236,0,-,1,-,-,71.9,0.4,-,6.76,null
2013,La Liga,Barcelona,Adama Traoré Barcelona/18/FW ,Adama Traoré (2013),17,Forward,178,72,0(1),1,0,1,7,0,-,-,-,1,75,-,-,6.62,null
2013,La Liga,Barcelona,Cristian Tello Barcelona/23/AM(LR) ,Cristian Tello (2013),22,Midfielder,178,65,2(20),22,2,20,410,1,2,-,-,0.9,82.1,-,-,6.31,null
2013,La Liga,Barcelona,Sergi Roberto Barcelona/22/M(C) ,Sergi Roberto (2013),21,Midfielder,177,70,1(16),17,1,16,276,0,-,-,-,0.2,89.3,0.4,-,6.19,null
2013,La Liga,Barcelona,Jonathan dos Santos Barcelona/24/M(C) ,Jonathan dos Santos (2013),23,Midfielder,172,74,0(3),3,0,3,17,0,-,-,-,-,92.9,-,-,6.09,null
2013,La Liga,Barcelona,Jean Marie Dongou Barcelona/19/FW ,Jean Marie Dongou (2013),18,Forward,176,70,0(1),1,0,1,6,0,-,-,-,-,100,-,-,6.07,Passing
2013,La Liga,Barcelona,Ibrahim Afellay Barcelona/28/AM(L) ,Ibrahim Afellay (2013),27,Midfielder,180,76,0(1),1,0,1,3,0,-,-,-,-,100,-,-,6.06,Passing
2013,La Liga,Real Madrid,Cristiano Ronaldo Real Madrid/29/AM(LR)^FW ,Cristiano Ronaldo (2013),28,Forward,185,80,30,30,30,0,2563,31,9,4,1,7.2,80.2,1.8,10,8.26,Scoring
2013,La Liga,Real Madrid,Gareth Bale Real Madrid/25/D(L)^M(CLR) ,Gareth Bale (2013),24,Defender,183,74,24(3),27,24,3,2080,15,12,3,-,3.3,76.3,1.1,4,7.75,Defending
2013,La Liga,Real Madrid,Ángel Di María Real Madrid/26/AM(CLR) ,Ángel Di María (2013),25,Midfielder,180,70,27(7),34,27,7,2402,4,17,6,-,1.9,82.1,-,2,7.46,null
2013,La Liga,Real Madrid,Sergio Ramos Real Madrid/28/D(CR) ,Sergio Ramos (2013),27,Defender,183,75,32,32,32,0,2832,4,1,10,2,1.3,88.8,4.3,6,7.46,Defending
2013,La Liga,Real Madrid,Karim Benzema Real Madrid/26/AM(LR)^FW ,Karim Benzema (2013),25,Forward,187,79,34(1),35,34,1,2799,17,9,2,-,2.9,81.9,0.7,1,7.44,Scoring
2013,La Liga,Real Madrid,Pepe Real Madrid/31/D(C)^DM(C) ,Pepe (2013),30,Defender,188,81,30,30,30,0,2700,4,2,9,-,0.6,85.9,2.9,-,7.42,Defending
2013,La Liga,Real Madrid,Isco Real Madrid/22/AM(CL) ,Isco (2013),21,Midfielder,176,74,23(9),32,23,9,2014,8,6,1,-,1.4,88.1,0.4,4,7.41,null
2013,La Liga,Real Madrid,Luka Modric Real Madrid/29/M(CLR) ,Luka Modric (2013),28,Midfielder,174,65,29(5),34,29,5,2656,1,6,6,-,1.1,89.7,0.4,-,7.31,null
2013,La Liga,Real Madrid,Marcelo Real Madrid/26/D(L)^M(CL) ,Marcelo20241 (2013),25,Defender,174,75,24(4),28,24,4,2182,1,6,3,-,1,85,0.6,-,7.27,null
2013,La Liga,Real Madrid,Mesut Özil Real Madrid/26/AM(CLR) ,Mesut Özil (2013),25,Midfielder,183,76,2,2,2,0,137,0,-,-,-,0.5,83.3,-,-,7.23,null
2013,La Liga,Real Madrid,Daniel Carvajal Real Madrid/22/D(R) ,Daniel Carvajal (2013),21,Defender,173,73,25(6),31,25,6,2237,2,2,5,-,0.2,86.7,1.2,1,7.22,null
2013,La Liga,Real Madrid,Xabi Alonso Real Madrid/32/DM(C) ,Xabi Alonso (2013),31,Midfielder,183,77,23(3),26,23,3,2030,0,1,5,-,0.3,88,2,1,7.06,null
2013,La Liga,Real Madrid,Asier Illarramendi Real Madrid/24/DM(C) ,Asier Illarramendi (2013),23,Midfielder,179,76,15(14),29,15,14,1403,2,1,3,-,0.3,88.9,0.7,2,6.94,null
2013,La Liga,Real Madrid,Raphaël Varane Real Madrid/21/D(C)^DM(C) ,Raphaël Varane (2013),20,Defender,191,78,12(2),14,12,2,1086,0,1,1,-,0.1,89.1,1.9,-,6.89,null
2013,La Liga,Real Madrid,Álvaro Arbeloa Real Madrid/31/D(LR) ,Álvaro Arbeloa (2013),30,Defender,184,79,14(4),18,14,4,1325,0,-,7,-,0.1,91.6,1,-,6.81,null
2013,La Liga,Real Madrid,Fábio Coentrão Real Madrid/26/D(L) ,Fábio Coentrão (2013),25,Defender,179,70,8(2),10,8,2,665,0,-,1,-,0.3,82.8,0.6,-,6.81,null
2013,La Liga,Real Madrid,Diego López Real Madrid/32/GK ,Diego López (2013),31,Keeper,196,88,36,36,36,0,3240,0,-,-,-,-,69,0.2,-,6.81,null
2013,La Liga,Real Madrid,Nacho Real Madrid/24/D(CLR) ,Nacho106875 (2013),23,Defender,179,75,8(4),12,8,4,812,0,1,2,-,0.2,91.5,0.8,-,6.8,null
2013,La Liga,Real Madrid,Sami Khedira Real Madrid/27/DM(C) ,Sami Khedira (2013),26,Midfielder,189,85,12(1),13,12,1,981,1,1,4,-,0.6,86.5,0.7,-,6.76,null
2013,La Liga,Real Madrid,Jesé Real Madrid/21/AM(R) ,Jesé (2013),20,Midfielder,178,73,4(14),18,4,14,594,5,4,-,-,1.2,83.8,0.1,-,6.66,null
2013,La Liga,Real Madrid,Álvaro Morata Real Madrid/22/FW ,Álvaro Morata (2013),21,Forward,187,80,3(20),23,3,20,560,8,-,2,-,1.7,69.2,0.9,-,6.65,null
2013,La Liga,Real Madrid,Casemiro Real Madrid/22/DM(C) ,Casemiro (2013),21,Midfielder,184,76,1(11),12,1,11,274,0,1,-,-,0.3,86.2,0.4,-,6.45,null
2013,La Liga,Real Madrid,Willian José Real Madrid/22/FW ,Willian José (2013),21,Forward,186,81,0(1),1,0,1,21,0,-,-,-,2,40,2,-,6.34,null
2013,La Liga,Real Madrid,Iker Casillas Real Madrid/33/GK ,Iker Casillas (2013),32,Keeper,185,84,2,2,2,0,180,0,-,-,-,-,78.1,-,-,6.2,null
2013,La Liga,Real Madrid,Diego Llorente Real Madrid/21/D ,Diego Llorente (2013),20,Defender,185,74,0(1),1,0,1,17,0,-,-,-,-,87.5,-,-,6.14,null
2013,La Liga,Athletic Club,Ander Herrera Athletic Club/25/M(CLR) ,Ander Herrera (2013),24,Midfielder,182,70,31(2),33,31,2,2593,5,5,7,-,2.1,80.7,1,3,7.41,null
2013,La Liga,Athletic Club,Aritz Aduriz Athletic Club/33/FW ,Aritz Aduriz (2013),32,Forward,182,78,26(5),31,26,5,2422,16,7,6,2,2.7,61.5,5.6,7,7.36,Scoring
2013,La Liga,Athletic Club,Carlos Gurpegi Athletic Club/34/D(C)^M(CR) ,Carlos Gurpegi (2013),33,Defender,181,75,27,27,27,0,2386,2,-,8,-,0.3,82.8,2.9,1,7.3,null
2013,La Liga,Athletic Club,Iker Muniain Athletic Club/21/AM(CLR) ,Iker Muniain (2013),20,Midfielder,169,63,32(3),35,32,3,2742,7,3,6,-,1.5,82.9,0.3,1,7.24,null
2013,La Liga,Athletic Club,Aymeric Laporte Athletic Club/20/D(CL) ,Aymeric Laporte (2013),19,Defender,189,85,33(2),35,33,2,2954,2,-,4,1,0.9,81.8,2.5,2,7.21,null
2013,La Liga,Athletic Club,Ander Iturraspe Athletic Club/25/DM(C) ,Ander Iturraspe (2013),24,Midfielder,187,74,31(2),33,31,2,2712,0,3,8,-,0.4,81.4,3.2,2,7.16,null
2013,La Liga,Athletic Club,Markel Susaeta Athletic Club/26/AM(CLR) ,Markel Susaeta (2013),25,Midfielder,179,67,34(4),38,34,4,2997,6,12,1,-,1.2,78.9,0.4,2,7.14,null
2013,La Liga,Athletic Club,Mikel Balenziaga Athletic Club/26/D(L) ,Mikel Balenziaga (2013),25,Defender,177,76,31,31,31,0,2675,0,-,4,-,0.2,72.3,1.1,2,7.09,null
2013,La Liga,Athletic Club,Mikel San José Athletic Club/25/D(C)^DM(C) ,Mikel San José (2013),24,Defender,186,77,19(6),25,19,6,1799,5,1,6,-,0.8,77.8,2.2,3,7.04,null
2013,La Liga,Athletic Club,Ibai Gómez Athletic Club/24/AM(L) ,Ibai Gómez (2013),23,Midfielder,177,72,6(12),18,6,12,688,8,2,-,-,2.6,75.3,-,-,6.94,null
2013,La Liga,Athletic Club,Andoni Iraola Athletic Club/32/D(R) ,Andoni Iraola (2013),31,Defender,182,75,28(6),34,28,6,2622,1,4,3,-,0.4,78.9,0.8,1,6.88,null
2013,La Liga,Athletic Club,Mikel Rico Athletic Club/29/M(C) ,Mikel Rico (2013),28,Midfielder,178,76,31(3),34,31,3,2611,5,1,7,-,0.8,78.6,0.9,-,6.82,null
2013,La Liga,Athletic Club,Xabier Etxeita Athletic Club/26/D(C) ,Xabier Etxeita (2013),25,Defender,185,80,2(1),3,2,1,185,0,-,-,-,-,74,2.7,-,6.77,null
