Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2013,English Premier League,Manchester City,Sergio Agüero Manchester City/26/AM(CL)^FW ,Sergio Agüero,25,AM(CL)^FW ,173,70,20(3),23,20,3,1556,17,6,4,-,3.7,84.9,0.4,6,7.69
2013,English Premier League,Manchester City,David Silva Manchester City/28/AM(CLR) ,David Silva,27,AM(CLR) ,170,67,26(1),27,26,1,2188,7,9,5,-,2,88.2,0.3,4,7.57
2013,English Premier League,Manchester City,Yaya Touré Manchester City/31/M(C) ,Yaya Touré,30,M(C) ,189,90,35,35,35,0,2941,20,9,4,-,1.8,90.1,0.9,4,7.55
2013,English Premier League,Manchester City,Fernandinho Manchester City/29/DM(C) ,Fernandinho,28,DM(C) ,179,67,29(4),33,29,4,2614,5,3,8,-,1,88.3,1.2,1,7.41
2013,English Premier League,Manchester City,Martín Demichelis Manchester City/33/D(C)^DM(C) ,Martín Demichelis,32,D(C)^DM(C) ,184,80,27,27,27,0,2430,2,1,6,-,0.6,89.9,2.3,1,7.39
2013,English Premier League,Manchester City,Samir Nasri Manchester City/27/AM(CLR) ,Samir Nasri,26,AM(CLR) ,175,75,29(5),34,29,5,2518,7,7,3,-,1.4,91.5,0.1,2,7.35
2013,English Premier League,Manchester City,Pablo Zabaleta Manchester City/29/D(LR) ,Pablo Zabaleta,28,D(LR) ,174,74,34(1),35,34,1,3079,1,6,11,-,0.6,84.7,1.3,2,7.25
2013,English Premier League,Manchester City,Gaël Clichy Manchester City/29/D(L) ,Gaël Clichy,28,D(L) ,176,65,18(2),20,18,2,1660,-,-,1,-,0.1,85.9,1.1,-,7.25
2013,English Premier League,Manchester City,Vincent Kompany Manchester City/28/D(C) ,Vincent Kompany,27,D(C) ,190,85,28,28,28,0,2447,4,1,6,1,0.6,88.1,1.3,-,7.18
2013,English Premier League,Manchester City,Edin Dzeko Manchester City/28/FW ,Edin Dzeko,27,FW ,193,84,23(8),31,23,8,2010,16,1,4,-,3.3,73.5,2.8,2,7.15
2013,English Premier League,Manchester City,Jesús Navas Manchester City/28/AM(CR) ,Jesús Navas,27,AM(CR) ,170,60,18(12),30,18,12,1786,4,7,-,-,1.1,85.9,0.2,2,7.14
2013,English Premier League,Manchester City,Aleksandar Kolarov Manchester City/28/D(L)^M(L) ,Aleksandar Kolarov,27,D(L)^M(L) ,187,83,21(9),30,21,9,1973,1,7,2,-,1.7,81,1.3,1,7.12
2013,English Premier League,Manchester City,Micah Richards Manchester City/26/D(CR) ,Micah Richards,25,D(CR) ,180,82,2,2,2,0,162,-,-,-,-,1,90.1,3,-,7.08
2013,English Premier League,Manchester City,Matija Nastasic Manchester City/21/D(C) ,Matija Nastasic,20,D(C) ,187,79,11(2),13,11,2,1028,-,-,4,-,0.4,91.9,2,1,6.96
2013,English Premier League,Manchester City,Joleon Lescott Manchester City/32/D(C) ,Joleon Lescott,31,D(C) ,190,89,8(2),10,8,2,785,-,-,-,-,0.6,89.5,1.4,-,6.89
2013,English Premier League,Manchester City,Álvaro Negredo Manchester City/29/FW ,Álvaro Negredo,28,FW ,186,87,21(11),32,21,11,1742,9,3,1,-,2.1,76.7,1.6,-,6.89
2013,English Premier League,Manchester City,Stevan Jovetic Manchester City/24/AM(CL)^FW ,Stevan Jovetic,23,AM(CL)^FW ,183,79,2(11),13,2,11,365,3,1,1,-,1.8,85.5,0.2,-,6.73
2013,English Premier League,Manchester City,Joe Hart Manchester City/27/GK ,Joe Hart,26,GK ,196,91,31,31,31,0,2790,-,-,1,-,-,47.3,0.2,-,6.72
2013,English Premier League,Manchester City,Javi García Manchester City/27/D(C)^DM(C) ,Javi García,26,D(C)^DM(C) ,180,85,14(15),29,14,15,1530,-,-,7,-,0.3,90.1,2.2,-,6.68
2013,English Premier League,Manchester City,Costel Pantilimon Manchester City/27/GK ,Costel Pantilimon,26,GK ,203,96,7,7,7,0,630,-,-,1,-,-,57.8,0.3,-,6.68
2013,English Premier League,Manchester City,Dedryck Boyata Manchester City/23/D(CR) ,Dedryck Boyata,22,D(CR) ,188,84,1,1,1,0,56,-,-,-,-,1,95.8,-,-,6.66
2013,English Premier League,Manchester City,James Milner Manchester City/28/M(CLR) ,James Milner,27,M(CLR) ,175,70,12(19),31,12,19,1362,1,4,3,-,0.8,84,0.5,-,6.58
2013,English Premier League,Manchester City,Jack Rodwell Manchester City/23/DM(C)^M(R) ,Jack Rodwell,22,DM(C)^M(R) ,188,80,1(4),5,1,4,109,-,-,-,-,0.8,83.7,0.8,-,6.23
2013,English Premier League,Liverpool,Luis Suárez Liverpool/27/AM(CLR)^FW ,Luis Suárez,26,AM(CLR)^FW ,181,81,33,33,33,0,2967,31,12,6,-,5.5,74.8,0.7,14,8.43
2013,English Premier League,Liverpool,Steven Gerrard Liverpool/34/M(C) ,Steven Gerrard,33,M(C) ,185,82,33(1),34,33,1,2907,13,13,7,-,1.8,86,1.3,4,7.77
2013,English Premier League,Liverpool,Daniel Sturridge Liverpool/25/AM(LR)^FW ,Daniel Sturridge,24,AM(LR)^FW ,188,76,26(3),29,26,3,2289,21,7,2,-,3.4,79.3,0.3,2,7.46
2013,English Premier League,Liverpool,Martin Skrtel Liverpool/29/D(C) ,Martin Skrtel,28,D(C) ,191,81,36,36,36,0,3223,7,1,6,-,0.4,90.8,3.6,2,7.45
2013,English Premier League,Liverpool,Philippe Coutinho Liverpool/22/AM(CLR) ,Philippe Coutinho,21,AM(CLR) ,171,71,28(5),33,28,5,2354,5,7,1,-,2.8,80.6,0.3,2,7.45
2013,English Premier League,Liverpool,Raheem Sterling Liverpool/19/AM(CLR) ,Raheem Sterling,18,AM(CLR) ,170,69,24(9),33,24,9,2230,9,5,3,-,1.4,81.7,0.3,2,7.4
2013,English Premier League,Liverpool,Jordan Henderson Liverpool/24/M(CLR) ,Jordan Henderson,23,M(CLR) ,182,67,35,35,35,0,3131,4,7,4,1,1.4,87.1,0.9,-,7.22
2013,English Premier League,Liverpool,Glen Johnson Liverpool/30/D(LR)^M(R) ,Glen Johnson,29,D(LR)^M(R) ,178,70,29,29,29,0,2527,-,2,3,-,0.7,84.1,1.4,-,7.14
2013,English Premier League,Liverpool,Lucas Leiva Liverpool/27/DM(C) ,Lucas Leiva,26,DM(C) ,179,74,20(7),27,20,7,1878,-,-,6,-,0.3,90.8,2.1,-,7.08
2013,English Premier League,Liverpool,Jon Flanagan Liverpool/21/D(LR) ,Jon Flanagan,20,D(LR) ,181,79,23,23,23,0,1908,1,1,3,-,0.3,83.7,1.3,1,7.07
2013,English Premier League,Liverpool,Mamadou Sakho Liverpool/24/D(C) ,Mamadou Sakho,23,D(C) ,187,83,17(1),18,17,1,1484,1,-,-,-,0.6,92.5,2.7,-,7.05
2013,English Premier League,Liverpool,Daniel Agger Liverpool/29/D(CL) ,Daniel Agger,28,D(CL) ,188,79,16(4),20,16,4,1422,2,1,-,-,0.4,89.1,2.3,1,6.98
2013,English Premier League,Liverpool,Aly Cissokho Liverpool/27/D(L) ,Aly Cissokho,26,D(L) ,181,75,12(3),15,12,3,1091,-,1,2,-,0.3,80.2,1.9,-,6.98
2013,English Premier League,Liverpool,Kolo Touré Liverpool/33/D(C) ,Kolo Touré,32,D(C) ,183,74,15(5),20,15,5,1439,-,2,2,-,0.4,86.4,2.2,-,6.91
2013,English Premier League,Liverpool,Joe Allen Liverpool/24/M(C) ,Joe Allen,23,M(C) ,168,62,15(9),24,15,9,1443,1,-,4,-,0.8,86.7,0.5,-,6.9
